# L um,San 8K ,L um,San 20K ,L um,san carlos 50K,L um,san carlos 100K,L um,san carlos 200K mir&fir,L um,san 292K
7.97751E+01,1.31511E+01,1.26473E+02,,7.97751E+01,1.24692E+01,7.97751E+01,1.70795E+01,7.97751E+01,2.30017E+01,7.97751E+01,2.85551E+01
7.96220E+01,1.92153E+01,1.26088E+02,,7.96220E+01,1.87218E+01,7.96220E+01,2.34879E+01,7.96220E+01,3.00963E+01,7.96220E+01,3.60982E+01
7.94695E+01,1.14359E+01,1.25706E+02,,7.94695E+01,1.09723E+01,7.94695E+01,1.56267E+01,7.94695E+01,2.21768E+01,7.94695E+01,2.86546E+01
7.93175E+01,,1.25326E+02,,7.93175E+01,,7.93175E+01,3.34000E+00,7.93175E+01,9.05060E+00,7.93175E+01,1.45613E+01
7.91662E+01,,1.24949E+02,,7.91662E+01,,7.91662E+01,,7.91662E+01,7.66000E-01,7.91662E+01,5.04640E+00
7.90153E+01,,1.24574E+02,1.19136E+01,7.90153E+01,,7.90153E+01,,7.90153E+01,4.97480E+00,7.90153E+01,8.97750E+00
7.88651E+01,8.98300E+00,1.24201E+02,2.42581E+01,7.88651E+01,1.00807E+01,7.88651E+01,1.47890E+01,7.88651E+01,2.17378E+01,7.88651E+01,2.55383E+01
7.87155E+01,3.46420E+01,1.23830E+02,2.19109E+01,7.87155E+01,3.52033E+01,7.87155E+01,3.76409E+01,7.87155E+01,4.58762E+01,7.87155E+01,4.80809E+01
7.85664E+01,3.10970E+01,1.23461E+02,9.37452E+00,7.85664E+01,3.14303E+01,7.85664E+01,3.42795E+01,7.85664E+01,4.10497E+01,7.85664E+01,4.30569E+01
7.84179E+01,1.68407E+01,1.23095E+02,,7.84179E+01,1.58774E+01,7.84179E+01,1.92620E+01,7.84179E+01,2.54554E+01,7.84179E+01,2.68664E+01
7.82699E+01,1.64200E-01,1.22731E+02,,7.82699E+01,,7.82699E+01,2.46130E+00,7.82699E+01,8.54830E+00,7.82699E+01,9.17650E+00
7.81225E+01,,1.22369E+02,1.04238E+00,7.81225E+01,,7.81225E+01,,7.81225E+01,8.71800E-01,7.81225E+01,2.27060E+00
7.79757E+01,,1.22009E+02,1.77936E+01,7.79757E+01,,7.79757E+01,1.29760E+00,7.79757E+01,8.39210E+00,7.79757E+01,1.20073E+01
7.78294E+01,1.32881E+01,1.21651E+02,2.20557E+01,7.78294E+01,1.34096E+01,7.78294E+01,1.71938E+01,7.78294E+01,2.50275E+01,7.78294E+01,2.81807E+01
7.76836E+01,2.06732E+01,1.21295E+02,7.05262E+00,7.76836E+01,2.11389E+01,7.76836E+01,2.53121E+01,7.76836E+01,3.32498E+01,7.76836E+01,3.54314E+01
7.75384E+01,1.20754E+01,1.20942E+02,,7.75384E+01,1.33744E+01,7.75384E+01,1.66943E+01,7.75384E+01,2.52979E+01,7.75384E+01,2.87294E+01
7.73937E+01,,1.20590E+02,,7.73937E+01,,7.73937E+01,9.95000E-02,7.73937E+01,9.57800E+00,7.73937E+01,1.56710E+01
7.72496E+01,,1.20241E+02,,7.72496E+01,,7.72496E+01,,7.72496E+01,,7.72496E+01,6.26050E+00
7.71061E+01,,1.19893E+02,,7.71061E+01,,7.71061E+01,,7.71061E+01,1.63470E+00,7.71061E+01,1.08035E+01
7.69630E+01,6.99830E+00,1.19548E+02,4.81503E+00,7.69630E+01,8.93170E+00,7.69630E+01,1.26440E+01,7.69630E+01,1.88427E+01,7.69630E+01,2.72834E+01
7.68205E+01,2.77043E+01,1.19204E+02,1.17585E+01,7.68205E+01,3.04381E+01,7.68205E+01,3.25286E+01,7.68205E+01,3.93422E+01,7.68205E+01,4.66809E+01
7.66785E+01,3.63635E+01,1.18863E+02,2.13722E+00,7.66785E+01,3.76267E+01,7.66785E+01,3.98317E+01,7.66785E+01,4.83042E+01,7.66785E+01,5.47223E+01
7.65370E+01,2.86634E+01,1.18523E+02,,7.65370E+01,2.96830E+01,7.65370E+01,3.22527E+01,7.65370E+01,4.13691E+01,7.65370E+01,4.59699E+01
7.63961E+01,1.25270E+01,1.18185E+02,,7.63961E+01,1.39141E+01,7.63961E+01,1.72363E+01,7.63961E+01,2.57895E+01,7.63961E+01,2.91427E+01
7.62556E+01,1.99120E+00,1.17850E+02,,7.62556E+01,2.18200E+00,7.62556E+01,5.28290E+00,7.62556E+01,1.45360E+01,7.62556E+01,1.86603E+01
7.61157E+01,5.56950E+00,1.17516E+02,1.39506E+01,7.61157E+01,5.09740E+00,7.61157E+01,7.55560E+00,7.61157E+01,1.69270E+01,7.61157E+01,2.35393E+01
7.59763E+01,1.93484E+01,1.17184E+02,2.91684E+01,7.59763E+01,1.87995E+01,7.59763E+01,2.16246E+01,7.59763E+01,2.99596E+01,7.59763E+01,3.85602E+01
7.58374E+01,3.00540E+01,1.16854E+02,2.84116E+01,7.58374E+01,3.04532E+01,7.58374E+01,3.31238E+01,7.58374E+01,4.06088E+01,7.58374E+01,4.75262E+01
7.56990E+01,2.65185E+01,1.16525E+02,9.96962E+00,7.56990E+01,2.69567E+01,7.56990E+01,2.98816E+01,7.56990E+01,3.70271E+01,7.56990E+01,4.29758E+01
7.55611E+01,1.24267E+01,1.16199E+02,,7.55611E+01,1.27195E+01,7.55611E+01,1.59969E+01,7.55611E+01,2.34577E+01,7.55611E+01,2.83099E+01
7.54237E+01,,1.15874E+02,,7.54237E+01,,7.54237E+01,,7.54237E+01,4.08350E+00,7.54237E+01,6.50820E+00
7.52869E+01,,1.15552E+02,,7.52869E+01,,7.52869E+01,,7.52869E+01,1.53400E+00,7.52869E+01,8.76100E+00
7.51505E+01,3.77920E+00,1.15231E+02,1.12819E+00,7.51505E+01,3.24090E+00,7.51505E+01,9.41260E+00,7.51505E+01,1.84803E+01,7.51505E+01,2.87953E+01
7.50146E+01,2.30329E+01,1.14912E+02,,7.50146E+01,2.43214E+01,7.50146E+01,2.88425E+01,7.50146E+01,3.92219E+01,7.50146E+01,5.09354E+01
7.48792E+01,3.35789E+01,1.14594E+02,,7.48792E+01,3.54846E+01,7.48792E+01,3.92505E+01,7.48792E+01,5.03864E+01,7.48792E+01,6.20914E+01
